hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,policy
15,577871.909442317,4321.420689719034,582193.330132036,1155.9516731148196,B0_power
16,960133.1573981853,4829.154947877106,964962.3123460624,1089.6606875946136,B0_power
17,1351157.3689299433,4765.451147335012,1355922.8200772784,904.2996913848187,B0_power
18,975667.0015909048,62107.331116149464,1037774.3327070542,9369.055128733256,B0_power
19,112323.18882286607,535804.7820826968,648127.9709055629,79490.10729404325,B0_power
20,559440.0010107242,2445711.3089144356,3005151.3099251594,361847.49170819763,B0_power
21,1178273.2196201098,180073.75068868653,1358346.9703087963,40043.253104038224,B0_power
22,635119.7116059836,29207.030880750117,664326.7424867336,13938.296946671135,B0_power
23,512241.93047271966,55861.07583286996,568103.0063055896,26285.75749922646,B0_power
0,795429.1655259088,1008.9130027533326,796438.0785286621,472.8880706666663,B1_power
1,534452.9039898228,3021.1685908833333,537474.0725807062,1402.9343999999999,B1_power
2,523236.1174212604,3509.975095431249,526746.0925166917,1617.9088841666662,B1_power
3,503713.6226830875,2715.0063999083336,506428.6290829958,1243.4556000000002,B1_power
4,472797.17304587126,2685.6653139522505,475482.8383598235,1223.3391711666668,B1_power
5,495329.1194900918,9448.560682072672,504777.68017216446,2447.7355713333345,B1_power
6,206457.21511118213,40853.5094213345,247310.72453251664,9288.714484666665,B1_power
7,276757.88065827254,70135.32474501859,346893.20540329115,15846.115876499985,B1_power
8,6588.965945626667,204914.37610903557,211503.34205466224,38229.17061175357,B1_power
9,7165.945130773353,242331.91706413034,249497.8621949037,49428.19645851101,B1_power
10,47835.53357856977,100199.73587762393,148035.2694561937,21024.06542016665,B1_power
11,340511.43730519095,819.1710992750006,341330.60840446595,340.6748833333336,B1_power
12,275666.83686534996,0.0,275666.83686534996,0.0,B1_power
13,25534.120352773323,0.0,25534.120352773323,0.0,B1_power
14,75413.53206416097,0.0,75413.53206416097,0.0,B1_power
15,532723.5974585764,5429.603069722672,538153.2005282991,1427.0165223333352,B1_power
16,971371.7236331592,11840.178824527415,983211.9024576866,2650.386919833333,B1_power
17,1451627.150090335,12866.060154125005,1464493.21024446,2476.327166666668,B1_power
18,1041581.1626688319,52416.83963923329,1093998.002308065,7953.333783333326,B1_power
19,112497.07019855667,414752.75063443545,527249.8208329921,61529.62719199174,B1_power
20,564435.5242793333,1808669.6651720353,2373105.1894513685,267461.5831255415,B1_power
21,1264386.541836849,99647.67625690745,1364034.2180937566,22616.764323267464,B1_power
22,945817.8442524928,13772.681979821582,959590.5262323143,6589.121331666665,B1_power
23,778403.7040015737,14230.535680900995,792634.2396824748,6700.658517833332,B1_power
0,528117.5388350795,0.0,528117.5388350795,0.0,P_power
1,526345.3091273718,0.0,526345.3091273718,0.0,P_power
2,517555.1489096553,0.0,517555.1489096553,0.0,P_power
3,487609.2455440146,0.0,487609.2455440146,0.0,P_power
4,452832.4920379615,0.0,452832.4920379615,0.0,P_power
5,447997.00778969633,11869.969018983647,459866.97680868,2993.459053039481,P_power
6,255222.38716145573,26628.23884737543,281850.62600883114,6100.51257198023,P_power
7,357548.7874277156,8224.604764560849,365773.3921922764,1992.910962613755,P_power
8,12354.73425654566,12804.77904042885,25159.51329697451,2384.94450408629,P_power
9,18912.082832198445,63890.591511668295,82802.67434386673,13091.156527301377,P_power
10,80488.92203034465,42710.58301974993,123199.50505009458,8953.5114316424,P_power
11,462506.19106534467,819.1710992750006,463325.36216461967,340.6748833333336,P_power
12,358686.27099863254,0.0,358686.27099863254,0.0,P_power
13,45003.830585813375,0.0,45003.830585813375,0.0,P_power
14,102447.52325311859,0.0,102447.52325311859,0.0,P_power
15,630649.8528877507,0.0,630649.8528877507,0.0,P_power
16,1050185.9364940985,0.0,1050185.9364940985,0.0,P_power
17,1552421.6216477058,0.0,1552421.6216477058,0.0,P_power
18,1162018.5042911796,10502.12103677644,1172520.625327956,1564.6839797979935,P_power
19,155379.00290360427,102535.4108984076,257914.41380201187,15209.687144941468,P_power
20,624654.08665477,362771.47204990673,987425.5587046766,53610.63857521282,P_power
21,1354123.4021615325,23179.07610071317,1377302.4782622457,5097.9467869269065,P_power
22,1142066.1975894913,0.0,1142066.1975894913,0.0,P_power
23,1218785.5100647986,0.0,1218785.5100647986,0.0,P_power
